SpeciesCode,BandNumberIn,BandNumberOut,Year,Month,Day,LocCountry,LocStateProvince,LocCity,LocArea,PlotName,PlotID,Latitude_dec,Longitude_dec,Easting,Northing,Hem,Zone,BanderID,ScribeID,CaptureTime,BandDisposition,BirdStatus,ULIn,LLIn,URIn,LRIn,FlagColorIn,FlagCodeIn,ULOut,LLOut,UROut,LROut,FlagColorOut,FlagCodeOut,NestID,BroodID,NestMate,NestAdult1,NestAdult2,BandSize,CaptureMethod,Age,Sex,HowAged,HowSexed,Mass_g,FatScore,TotalHead_mm,NaresTip_mm,CulmenLength_mm,CulmenDepth_mm,CulmenWidth_mm,Tarsus_mm,Wing_mm,Tail_mm,P10_mm,P10Exposed_mm,BroodPatch,BodyMolt,FlightFeatherMolt,RectWear,AISwabO,AISwabC,Fecal,Nails,Blood,BloodFilter,BloodGenetics,BloodHg,Feather,Downy,FeatherType1,FeatherType2,BirdDisposition,TagType1,TagStatus1,TagID1,PlatformID1,TagMass1_g,TagAttachment1,TagManufacturer1,TagModel1,TagType2,TagStatus2,TagID2,PlatformID2,TagMass2_g,TagAttachment2,TagManufacturer2,TagModel2,RadioFrequency_mHz,Photos,EstHatchDate,ChickAge_d,ChickAgeType,Notes
BLPW,,274058316,2018,6,4,USA,Alaska,Anchorage,,,FAIC,61.26823,-149.84181,,,,,,,14:40,1,319,,,,,,,,Db-Dg-R,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12,0,30.7,,9.9,,,19.7,74,,,,,0,,2,,,N,,Y,Y,,,N,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058301,2020,6,1,USA,Alaska,Anchorage,JBER,,BLPO,61.26126,-149.82376,,,,,,,7:00,1,319,,,,,,,,Db-Dg-Db,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,11.7,1,29.5,,9,,,21.7,76,,,,,0,,,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058302,2020,6,1,USA,Alaska,Anchorage,JBER,,DENA,61.26053,-149.83455,,,,,,,7:55,1,319,,,,,,,,Db-Dg-Dg,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12,1,29.7,,8.9,,,19.1,74,,,,,0,,,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058303,2020,6,1,USA,Alaska,Anchorage,JBER,,DENA,61.26072,-149.82956,,,,,,,8:47,1,319,,,,,,,,Db-R-R,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,12.3,1,30.5,,9.4,,,19.4,75,,,,,0,,,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058304,2020,6,1,USA,Alaska,Anchorage,JBER,,DENA,61.25472,-149.84895,,,,,,,9:42,1,319,,,,,,,,Db-R-Db,,Y-A,,,,,,,,,MN,AHY,M,PL,PL,14.5,1,31.2,,10.5,,,19.1,74,,,,,0,,,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058305,2020,6,4,USA,Alaska,Anchorage,JBER,,DENA,61.248338,-149.806456,,,,,,,7:20,1,319,,,,,,,,Db-R-Y,,Y-A,,,,,,,,,MN,ASY,M,PL,PL,11.3,1,30,,9.5,,,19.6,77,,,,,0,,,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058306,2020,6,4,USA,Alaska,Anchorage,JBER,,DENA,61.248337,-149.806061,,,,,,,8:00,1,319,,,,,,,,Db-Db-R,,Y-A,,,,,,,,,MN,ASY,M,PL,PL,12.3,1,29.8,,9.5,,,19.2,75,,,,,0,,,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058307,2020,6,4,USA,Alaska,Anchorage,JBER,,DENA,61.25295,-149.85703,,,,,,,9:20,1,319,,,,,,,,Db-Db-Dg,,Y-A,,,,,,,,,MN,ASY,M,PL,PL,13.1,1,30.8,,9.7,,,18.9,75,,,,,0,,,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058308,2020,6,5,USA,Alaska,Anchorage,JBER,,GRLA,61.26012,-149.831201,,,,,,,10:12,1,319,,,,,,,,Db-Db-Y,,Y-A,,,,,,,,,MN,ASY,M,PL,PL,12.6,0,30.4,,10.9,,,19.2,75,,,,,0,,,,,N,,Y,Y,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
BLPW,,274058309,2020,6,11,USA,Alaska,Anchorage,JBER,,AMCO,61.30029,-149.82365,,,,,,,9:45,1,325,,,,,,,,Db-Db-Db,,Y-A,,,,,,,,,MN,ASY,M,PL,PL,12.1,0,30.5,,10.3,,,19.9,76,,,,,0,,,,,N,,,N,,,Y,,,,1,,,,,,,,,,,,,,,,,,,,,,
